standort,zielcluster,referenzpaar,referenzcluster,gewichtungsverfahren,referenzgewicht_0_bis_1
Alpen-Sevelen,AS-04,AS-01--AS-06,AS-06,Vollstaendig,0.624077074053572
Alpen-Sevelen,AS-04,AS-02--AS-03,AS-02,Gleichgewichtung,0.5
Alpen-Sevelen,AS-04,AS-02--AS-03,AS-03,Gleichgewichtung,0.5
Alpen-Sevelen,AS-04,AS-02--AS-03,AS-02,1/d^2,0.01989423720936
Alpen-Sevelen,AS-04,AS-02--AS-03,AS-03,1/d^2,0.98010576279064
Alpen-Sevelen,AS-04,AS-02--AS-03,AS-02,Wald + Wind,0.4513916319983891
Alpen-Sevelen,AS-04,AS-02--AS-03,AS-03,Wald + Wind,0.548608368001611
Alpen-Sevelen,AS-04,AS-02--AS-03,AS-02,Vollstaendig,0.4429458507858139
Alpen-Sevelen,AS-04,AS-02--AS-03,AS-03,Vollstaendig,0.5570541492141861
Alpen-Sevelen,AS-04,AS-02--AS-05,AS-02,Gleichgewichtung,0.5
Alpen-Sevelen,AS-04,AS-02--AS-05,AS-05,Gleichgewichtung,0.5
Alpen-Sevelen,AS-04,AS-02--AS-05,AS-02,1/d^2,0.0369220780469396
Alpen-Sevelen,AS-04,AS-02--AS-05,AS-05,1/d^2,0.9630779219530604
Alpen-Sevelen,AS-04,AS-02--AS-05,AS-02,Wald + Wind,0.4582466271079105
Alpen-Sevelen,AS-04,AS-02--AS-05,AS-05,Wald + Wind,0.5417533728920895
Alpen-Sevelen,AS-04,AS-02--AS-05,AS-02,Vollstaendig,0.4649676466504216
Alpen-Sevelen,AS-04,AS-02--AS-05,AS-05,Vollstaendig,0.5350323533495784
Alpen-Sevelen,AS-04,AS-02--AS-06,AS-02,Gleichgewichtung,0.5
Alpen-Sevelen,AS-04,AS-02--AS-06,AS-06,Gleichgewichtung,0.5
Alpen-Sevelen,AS-04,AS-02--AS-06,AS-02,1/d^2,0.0291204003129573
Alpen-Sevelen,AS-04,AS-02--AS-06,AS-06,1/d^2,0.9708795996870426
Alpen-Sevelen,AS-04,AS-02--AS-06,AS-02,Wald + Wind,0.3993746714473654
