modell,teststandort,alpha,mae_direkte_fehlerprognose
Distanz + RIX + Gelaendehoehe + Wald,Lorup,1.0,0.0564600001536791
Distanz + RIX + Gelaendehoehe + Wald,Ostfriesland,1.0,0.031720207693085
Distanz + RIX + Gelaendehoehe + Wald,Paderborn,10.0,0.0512560256677085
Distanz + RIX + Gelaendehoehe + Wald,Rheda-Beckum,1.0,0.0242008026129726
Distanz + RIX + Gelaendehoehe + Wind,Alpen-Sevelen,1.0,0.0196438405444584
Distanz + RIX + Gelaendehoehe + Wind,Altenmellrich,1.0,0.0559929591610671
Distanz + RIX + Gelaendehoehe + Wind,Bad Berleburg,1.0,0.0816966505242014
Distanz + RIX + Gelaendehoehe + Wind,Borken-Coesfeld,1.0,0.0259955056517506
Distanz + RIX + Gelaendehoehe + Wind,Lorup,1.0,0.0382188611436539
Distanz + RIX + Gelaendehoehe + Wind,Ostfriesland,1.0,0.0307598919811901
Distanz + RIX + Gelaendehoehe + Wind,Paderborn,10.0,0.0507378750576573
Distanz + RIX + Gelaendehoehe + Wind,Rheda-Beckum,1.0,0.0221582361831069
Distanz + RIX + Rauigkeit + Wald,Alpen-Sevelen,1.0,0.0235927579719854
Distanz + RIX + Rauigkeit + Wald,Altenmellrich,1.0,0.0535240548957372
Distanz + RIX + Rauigkeit + Wald,Bad Berleburg,1.0,0.0692452046216447
Distanz + RIX + Rauigkeit + Wald,Borken-Coesfeld,1.0,0.0324400892470942
Distanz + RIX + Rauigkeit + Wald,Lorup,1.0,0.0677511295979167
Distanz + RIX + Rauigkeit + Wald,Ostfriesland,1.0,0.0356177039577657
Distanz + RIX + Rauigkeit + Wald,Paderborn,10.0,0.0512926041977511
Distanz + RIX + Rauigkeit + Wald,Rheda-Beckum,1.0,0.0230109102078057
Distanz + RIX + Rauigkeit + Wind,Alpen-Sevelen,1.0,0.0199121058785497
Distanz + RIX + Rauigkeit + Wind,Altenmellrich,1.0,0.0567912392299893
Distanz + RIX + Rauigkeit + Wind,Bad Berleburg,1.0,0.0936192868342197
Distanz + RIX + Rauigkeit + Wind,Borken-Coesfeld,1.0,0.0261544340404791
Distanz + RIX + Rauigkeit + Wind,Lorup,1.0,0.0436820806277118
Distanz + RIX + Rauigkeit + Wind,Ostfriesland,1.0,0.034222442093846
Distanz + RIX + Rauigkeit + Wind,Paderborn,10.0,0.0506097321408427
Distanz + RIX + Rauigkeit + Wind,Rheda-Beckum,1.0,0.0212069113949258
Distanz + RIX + Wald + Wind,Alpen-Sevelen,1.0,0.0199641984634726
Distanz + RIX + Wald + Wind,Altenmellrich,1.0,0.0541350009513877
