standort,clusterpaar,modell,prognostiziertes_rms_logfehlerniveau
Paderborn,PA-04--PA-07,Konstant,0.0737631224218017
Paderborn,PA-04--PA-08,Konstant,0.0737631224218017
Paderborn,PA-04--PA-09,Konstant,0.0737631224218017
Paderborn,PA-05--PA-06,Konstant,0.0737631224218017
Paderborn,PA-05--PA-07,Konstant,0.0737631224218017
Paderborn,PA-05--PA-08,Konstant,0.0737631224218017
Paderborn,PA-05--PA-09,Konstant,0.0737631224218017
Paderborn,PA-06--PA-07,Konstant,0.0737631224218017
Paderborn,PA-06--PA-08,Konstant,0.0737631224218017
Paderborn,PA-06--PA-09,Konstant,0.0737631224218017
Paderborn,PA-07--PA-08,Konstant,0.0737631224218017
Paderborn,PA-07--PA-09,Konstant,0.0737631224218017
Paderborn,PA-08--PA-09,Konstant,0.0737631224218017
Paderborn,PA-01--PA-10,Distanz,0.0736308865963835
Paderborn,PA-01--PA-11,Distanz,0.0735891836319996
Paderborn,PA-01--PA-12,Distanz,0.0735790752305418
Paderborn,PA-01--PA-02,Distanz,0.0738134183051958
Paderborn,PA-01--PA-03,Distanz,0.0737722462700341
Paderborn,PA-01--PA-04,Distanz,0.0737655209283821
Paderborn,PA-01--PA-05,Distanz,0.0737209577102723
Paderborn,PA-01--PA-06,Distanz,0.0736808051868804
Paderborn,PA-01--PA-07,Distanz,0.0736867655703361
Paderborn,PA-01--PA-08,Distanz,0.0736896694641604
Paderborn,PA-01--PA-09,Distanz,0.0735977934166401
Paderborn,PA-10--PA-11,Distanz,0.0738003050334043
Paderborn,PA-10--PA-12,Distanz,0.073791289092564
Paderborn,PA-02--PA-10,Distanz,0.0736207506347627
Paderborn,PA-03--PA-10,Distanz,0.0736839542624773
Paderborn,PA-04--PA-10,Distanz,0.0737084897895315
Paderborn,PA-05--PA-10,Distanz,0.0737499498502382
Paderborn,PA-06--PA-10,Distanz,0.0737910964457256
Paderborn,PA-07--PA-10,Distanz,0.0737814459866957
Paderborn,PA-08--PA-10,Distanz,0.0737647607617168
Paderborn,PA-09--PA-10,Distanz,0.0737821903106489
Paderborn,PA-11--PA-12,Distanz,0.0738258661673043
Paderborn,PA-02--PA-11,Distanz,0.0735805482571015
Paderborn,PA-03--PA-11,Distanz,0.0736454716450575
Paderborn,PA-04--PA-11,Distanz,0.073666788201711
Paderborn,PA-05--PA-11,Distanz,0.0737100120605919
Paderborn,PA-06--PA-11,Distanz,0.0737481109370144
Paderborn,PA-07--PA-11,Distanz,0.073743474071563
Paderborn,PA-08--PA-11,Distanz,0.0737316122492793
Paderborn,PA-09--PA-11,Distanz,0.0737758706956114
Paderborn,PA-02--PA-12,Distanz,0.0735689806768682
Paderborn,PA-03--PA-12,Distanz,0.0736328032222403
Paderborn,PA-04--PA-12,Distanz,0.0736565842921809
Paderborn,PA-05--PA-12,Distanz,0.073698299906788
Paderborn,PA-06--PA-12,Distanz,0.0737403650372703
Paderborn,PA-07--PA-12,Distanz,0.0737308494871334
Paderborn,PA-08--PA-12,Distanz,0.0737171807188726
Paderborn,PA-09--PA-12,Distanz,0.0737858092599487
Paderborn,PA-02--PA-03,Distanz,0.0737755791142819
Paderborn,PA-02--PA-04,Distanz,0.0737533085509269
Paderborn,PA-02--PA-05,Distanz,0.073713599288776
Paderborn,PA-02--PA-06,Distanz,0.0736679986769515
Paderborn,PA-02--PA-07,Distanz,0.0736799871184782
Paderborn,PA-02--PA-08,Distanz,0.0736870037003163
Paderborn,PA-02--PA-09,Distanz,0.0735820297552717
Paderborn,PA-03--PA-04,Distanz,0.0738005143068605
Paderborn,PA-03--PA-05,Distanz,0.0737768299055462
Paderborn,PA-03--PA-06,Distanz,0.0737266401648223
Paderborn,PA-03--PA-07,Distanz,0.0737450713319831
Paderborn,PA-03--PA-08,Distanz,0.0737542966212113
Paderborn,PA-03--PA-09,Distanz,0.0736387357345835
Paderborn,PA-04--PA-05,Distanz,0.073797219192656
Paderborn,PA-04--PA-06,Distanz,0.0737576098066189
Paderborn,PA-04--PA-07,Distanz,0.073763480257912
Paderborn,PA-04--PA-08,Distanz,0.0737623262356397
Paderborn,PA-04--PA-09,Distanz,0.0736717810299083
Paderborn,PA-05--PA-06,Distanz,0.0737916973669793
Paderborn,PA-05--PA-07,Distanz,0.0738090656089889
Paderborn,PA-05--PA-08,Distanz,0.0738066236136764
Paderborn,PA-05--PA-09,Distanz,0.0737041110918599
Paderborn,PA-06--PA-07,Distanz,0.0738069876088781
Paderborn,PA-06--PA-08,Distanz,0.0737846012410298
Paderborn,PA-06--PA-09,Distanz,0.0737552705726252
Paderborn,PA-07--PA-08,Distanz,0.0738207683689747
Paderborn,PA-07--PA-09,Distanz,0.0737286980714038
Paderborn,PA-08--PA-09,Distanz,0.0737083625476288
Paderborn,PA-01--PA-10,Wald + Wind,0.1574409106058627
Paderborn,PA-01--PA-11,Wald + Wind,0.1632551423756582
Paderborn,PA-01--PA-12,Wald + Wind,0.1844728393337318
Paderborn,PA-01--PA-02,Wald + Wind,0.1144454767745401
Paderborn,PA-01--PA-03,Wald + Wind,0.095875734803145
Paderborn,PA-01--PA-04,Wald + Wind,0.0853985659037638
Paderborn,PA-01--PA-05,Wald + Wind,0.1330029408592694
Paderborn,PA-01--PA-06,Wald + Wind,0.1405666721635192
Paderborn,PA-01--PA-07,Wald + Wind,0.1407123221428398
Paderborn,PA-01--PA-08,Wald + Wind,0.1309640458483338
Paderborn,PA-01--PA-09,Wald + Wind,0.1665606167621018
Paderborn,PA-10--PA-11,Wald + Wind,0.0667741901339592
Paderborn,PA-10--PA-12,Wald + Wind,0.0895104364752288
Paderborn,PA-02--PA-10,Wald + Wind,0.1536369480183415
Paderborn,PA-03--PA-10,Wald + Wind,0.0938780639751351
Paderborn,PA-04--PA-10,Wald + Wind,0.0944075776891975
Paderborn,PA-05--PA-10,Wald + Wind,0.0811357711408611
Paderborn,PA-06--PA-10,Wald + Wind,0.057974794953876
Paderborn,PA-07--PA-10,Wald + Wind,0.0791942332584213
Paderborn,PA-08--PA-10,Wald + Wind,0.0635727734213912
