standort,zielcluster,referenzpaar,gewichtungsverfahren,log_transferfehler_kombiniert
Alpen-Sevelen,AS-06,AS-01--AS-02,Gleichgewichtung,-0.070540054766124
Alpen-Sevelen,AS-06,AS-01--AS-02,1/d^2,-0.070522989361968
Alpen-Sevelen,AS-06,AS-01--AS-02,Wald + Wind,-0.070552057661192
Alpen-Sevelen,AS-06,AS-01--AS-02,Vollstaendig,-0.0705489524060046
Alpen-Sevelen,AS-06,AS-01--AS-03,Gleichgewichtung,-0.0423040213726217
Alpen-Sevelen,AS-06,AS-01--AS-03,1/d^2,-0.0202922322439017
Alpen-Sevelen,AS-06,AS-01--AS-03,Wald + Wind,-0.0363776841395736
Alpen-Sevelen,AS-06,AS-01--AS-03,Vollstaendig,-0.037363378475751
Alpen-Sevelen,AS-06,AS-01--AS-04,Gleichgewichtung,-0.0574799509638318
Alpen-Sevelen,AS-06,AS-01--AS-04,1/d^2,-0.0458094024345463
Alpen-Sevelen,AS-06,AS-01--AS-04,Wald + Wind,-0.0529784171204475
Alpen-Sevelen,AS-06,AS-01--AS-04,Vollstaendig,-0.0538124042481704
Alpen-Sevelen,AS-06,AS-01--AS-05,Gleichgewichtung,-0.0358432727747201
Alpen-Sevelen,AS-06,AS-01--AS-05,1/d^2,-0.0031530290990643
Alpen-Sevelen,AS-06,AS-01--AS-05,Wald + Wind,-0.0253340161665864
Alpen-Sevelen,AS-06,AS-01--AS-05,Vollstaendig,-0.0284096958228488
Alpen-Sevelen,AS-06,AS-02--AS-03,Gleichgewichtung,-0.0423707741969687
Alpen-Sevelen,AS-06,AS-02--AS-03,1/d^2,-0.0182868987152641
Alpen-Sevelen,AS-06,AS-02--AS-03,Wald + Wind,-0.0412376071350934
Alpen-Sevelen,AS-06,AS-02--AS-03,Vollstaendig,-0.0409825689508997
Alpen-Sevelen,AS-06,AS-02--AS-04,Gleichgewichtung,-0.0575477245848483
Alpen-Sevelen,AS-06,AS-02--AS-04,1/d^2,-0.0453661516282925
Alpen-Sevelen,AS-06,AS-02--AS-04,Wald + Wind,-0.05513574344919
Alpen-Sevelen,AS-06,AS-02--AS-04,Vollstaendig,-0.0554605125895122
Alpen-Sevelen,AS-06,AS-02--AS-05,Gleichgewichtung,-0.0359095957017733
Alpen-Sevelen,AS-06,AS-02--AS-05,1/d^2,-0.0028460267365558
Alpen-Sevelen,AS-06,AS-02--AS-05,Wald + Wind,-0.0310319474340923
Alpen-Sevelen,AS-06,AS-02--AS-05,Vollstaendig,-0.0327682169242087
Alpen-Sevelen,AS-06,AS-03--AS-04,Gleichgewichtung,-0.0296711371808917
Alpen-Sevelen,AS-06,AS-03--AS-04,1/d^2,-0.0356195283960606
Alpen-Sevelen,AS-06,AS-03--AS-04,Wald + Wind,-0.0318521867531278
Alpen-Sevelen,AS-06,AS-03--AS-04,Vollstaendig,-0.0313386067759898
Alpen-Sevelen,AS-06,AS-03--AS-05,Gleichgewichtung,-0.0086216590165369
Alpen-Sevelen,AS-06,AS-03--AS-05,1/d^2,-0.0035940951978749
Alpen-Sevelen,AS-06,AS-03--AS-05,Wald + Wind,-0.007974781289919
Alpen-Sevelen,AS-06,AS-03--AS-05,Vollstaendig,-0.0083549752113567
Alpen-Sevelen,AS-06,AS-04--AS-05,Gleichgewichtung,-0.0232912349345592
Alpen-Sevelen,AS-06,AS-04--AS-05,1/d^2,-0.010753041269882
Alpen-Sevelen,AS-06,AS-04--AS-05,Wald + Wind,-0.0242196533372177
Alpen-Sevelen,AS-06,AS-04--AS-05,Vollstaendig,-0.0247676900955377
Altenmellrich,AM-01,AM-02--AM-03,Gleichgewichtung,-0.1249738887269876
Altenmellrich,AM-01,AM-02--AM-03,1/d^2,-0.1553365870903061
Altenmellrich,AM-01,AM-02--AM-03,Wald + Wind,-0.1135122976485185
Altenmellrich,AM-01,AM-02--AM-03,Vollstaendig,-0.1133240719544203
Altenmellrich,AM-01,AM-02--AM-04,Gleichgewichtung,-0.1784415319932534
Altenmellrich,AM-01,AM-02--AM-04,1/d^2,-0.1598937653826179
Altenmellrich,AM-01,AM-02--AM-04,Wald + Wind,-0.1793632664845998
Altenmellrich,AM-01,AM-02--AM-04,Vollstaendig,-0.180189658275615
Altenmellrich,AM-01,AM-03--AM-04,Gleichgewichtung,-0.1434965485819809
Altenmellrich,AM-01,AM-03--AM-04,1/d^2,-0.1141429524253798
Altenmellrich,AM-01,AM-03--AM-04,Wald + Wind,-0.1277509545350011
Altenmellrich,AM-01,AM-03--AM-04,Vollstaendig,-0.1295023335897825
Altenmellrich,AM-02,AM-01--AM-03,Gleichgewichtung,0.1144106708148783
Altenmellrich,AM-02,AM-01--AM-03,1/d^2,0.1530129846355101
Altenmellrich,AM-02,AM-01--AM-03,Wald + Wind,0.115629233609769
Altenmellrich,AM-02,AM-01--AM-03,Vollstaendig,0.1156463272820578
Altenmellrich,AM-02,AM-01--AM-04,Gleichgewichtung,0.0651627705875949
Altenmellrich,AM-02,AM-01--AM-04,1/d^2,0.1557326894931511
Altenmellrich,AM-02,AM-01--AM-04,Wald + Wind,0.0753868530079044
Altenmellrich,AM-02,AM-01--AM-04,Vollstaendig,0.0770519711133829
Altenmellrich,AM-02,AM-03--AM-04,Gleichgewichtung,0.0157698831120853
Altenmellrich,AM-02,AM-03--AM-04,1/d^2,0.0463220302415739
Altenmellrich,AM-02,AM-03--AM-04,Wald + Wind,0.0198868178963144
Altenmellrich,AM-02,AM-03--AM-04,Vollstaendig,0.0207728933749533
Altenmellrich,AM-03,AM-01--AM-02,Gleichgewichtung,0.0153526013809708
Altenmellrich,AM-03,AM-01--AM-02,1/d^2,0.0055766150136887
Altenmellrich,AM-03,AM-01--AM-02,Wald + Wind,0.0446613476624511
Altenmellrich,AM-03,AM-01--AM-02,Vollstaendig,0.0451540965729796
Altenmellrich,AM-03,AM-01--AM-04,Gleichgewichtung,-0.0022852229029596
Altenmellrich,AM-03,AM-01--AM-04,1/d^2,-0.0112571488445155
Altenmellrich,AM-03,AM-01--AM-04,Wald + Wind,0.0096645490376835
Altenmellrich,AM-03,AM-01--AM-04,Vollstaendig,0.0103778984613668
Altenmellrich,AM-03,AM-02--AM-04,Gleichgewichtung,-0.0866230937897418
Altenmellrich,AM-03,AM-02--AM-04,1/d^2,-0.085998700269818
Altenmellrich,AM-03,AM-02--AM-04,Wald + Wind,-0.091757266353957
Altenmellrich,AM-03,AM-02--AM-04,Vollstaendig,-0.0917574849606606
Altenmellrich,AM-04,AM-01--AM-02,Gleichgewichtung,0.1215256801027749
Altenmellrich,AM-04,AM-01--AM-02,1/d^2,0.1144987577429154
Altenmellrich,AM-04,AM-01--AM-02,Wald + Wind,0.1293884649569825
Altenmellrich,AM-04,AM-01--AM-02,Vollstaendig,0.1334697807993766
Altenmellrich,AM-04,AM-01--AM-03,Gleichgewichtung,0.1531357560461282
Altenmellrich,AM-04,AM-01--AM-03,1/d^2,0.1242500779717584
Altenmellrich,AM-04,AM-01--AM-03,Wald + Wind,0.1436458896556454
Altenmellrich,AM-04,AM-01--AM-03,Vollstaendig,0.1456627538973798
Altenmellrich,AM-04,AM-02--AM-03,Gleichgewichtung,0.0730176281983282
Altenmellrich,AM-04,AM-02--AM-03,1/d^2,0.0918296200474361
Altenmellrich,AM-04,AM-02--AM-03,Wald + Wind,0.0830500097467047
Altenmellrich,AM-04,AM-02--AM-03,Vollstaendig,0.0832798725294807
Bad Berleburg,BB-01,BB-02--BB-03,Gleichgewichtung,-0.0678301291149558
